Abandinus
Abellio
Alisanos
Anextiomarus
Atepomarus
Arausio
Barinthus
Belatucadros
Belenus
Borvo
Borrum
Buxenus
Camulus
Canetonnessis
Cicolluis
Cimbrianus
Mars
Cocidius
Condatis
Contrebis
Dii
Dis
Esus
Fagus
Genii
Grannus
Intarabus
Latobius
Lenus
Leucetios
Lugus
Luxovius
Maponos
Mogons
Moritasgus
Mullo
Nerius
Ogmios
Rudianos
Sedatus
Segomo
Smertrios
Sucellos
Taranis
Toutatis
Tridamos
Veteris
Virotutis
Vindonnus
Vinotonus
Vosegus
Abnoba
Adsullata
Aericura
Agrona
Ancamna
Ancasta
Andarta
Andraste
Arduinna
Aufaniae
Arnemetia
Artio
Aventia
Aveta
Belisama
Brigantia
Britannia
Campestres
Clota
Coventina
Damara
Damona
Dea Matrona
Dea Sequana
Debranua
Epona
Erecura
Icaunus
Icovellauna
Litavis
Mairiae
Nantosuelta
Nemetona
Ritona
Rosmerta
Sabrina
Senua
Sequana
Sirona
Suleviae
Sulis
Tamesisaddas
Verbeia
